municipal_name,region_name,indicator,anomaly_type,actual_value,expected_value,deviation_pct,severity_score,strangeness_score,description
Анадырь,Чукотский автономный округ,population_female,geographic_anomaly,29660.0,10897.0,172.19,100.0,60,"population_female value 29660.00 is above cluster bounds [-2010.52, 23804.52] (median: 10897.00) in Чукотский автономный округ"
Билибинский,Чукотский автономный округ,salary_Спорт и досуг,geographic_anomaly,157727.39,139439.6,13.12,100.0,60,"salary_Спорт и досуг value 157727.39 is above cluster bounds [134281.93, 144597.27] (median: 139439.60) in Чукотский автономный округ"
Певек,Чукотский автономный округ,salary_Услуги ЖКХ,geographic_anomaly,295208.88,137906.25,114.06,100.0,60,"salary_Услуги ЖКХ value 295208.88 is above cluster bounds [38905.56, 236906.94] (median: 137906.25) in Чукотский автономный округ"
Певек,Чукотский автономный округ,salary_Спорт и досуг,geographic_anomaly,156974.92,139439.6,12.58,100.0,60,"salary_Спорт и досуг value 156974.92 is above cluster bounds [134281.93, 144597.27] (median: 139439.60) in Чукотский автономный округ"
Анадырь,Чукотский автономный округ,salary_Сельское хозяйство,geographic_anomaly,149597.58,96619.45,54.83,100.0,60,"salary_Сельское хозяйство value 149597.58 is above cluster bounds [57308.90, 135930.00] (median: 96619.45) in Чукотский автономный округ"
Анадырь,Чукотский автономный округ,salary_Образование,geographic_anomaly,152231.85,132117.7,15.22,100.0,60,"salary_Образование value 152231.85 is above cluster bounds [119442.97, 144792.43] (median: 132117.70) in Чукотский автономный округ"
Анадырь,Чукотский автономный округ,salary_Финансы и страхование,geographic_anomaly,253583.39,109284.33,132.04,100.0,60,"salary_Финансы и страхование value 253583.39 is above cluster bounds [19166.86, 199401.80] (median: 109284.33) in Чукотский автономный округ"
Анадырь,Чукотский автономный округ,salary_Гос. управление и военн. безопасность,geographic_anomaly,181569.89,161768.27,12.24,100.0,60,"salary_Гос. управление и военн. безопасность value 181569.89 is above cluster bounds [149295.60, 174240.94] (median: 161768.27) in Чукотский автономный округ"
Анадырь,Чукотский автономный округ,salary_Водоснабжение,geographic_anomaly,162486.08,41099.46,295.35,100.0,60,salary_Водоснабжение value 162486.08 is 4.13 std deviations above urban municipality average 41099.46
Певек,Чукотский автономный округ,salary_ИТ и связь,geographic_anomaly,213977.75,47391.05,351.52,100.0,60,salary_ИТ и связь value 213977.75 is 5.77 std deviations above rural municipality average 47391.05
Норильск,Красноярский край,salary_Торговля,geographic_anomaly,147737.92,51020.43,189.57,100.0,60,"salary_Торговля value 147737.92 is above cluster bounds [37140.18, 64900.68] (median: 51020.43) in Красноярский край"
Норильск,Красноярский край,salary_Образование,geographic_anomaly,120663.71,52678.68,129.06,100.0,60,"salary_Образование value 120663.71 is above cluster bounds [40258.08, 65099.27] (median: 52678.68) in Красноярский край"
Норильск,Красноярский край,salary_Гос. управление и военн. безопасность,geographic_anomaly,153542.04,62949.66,143.91,100.0,60,"salary_Гос. управление и военн. безопасность value 153542.04 is above cluster bounds [39062.47, 86836.85] (median: 62949.66) in Красноярский край"
Певек,Чукотский автономный округ,salary_Торговля,geographic_anomaly,201399.94,50577.3,298.2,100.0,60,salary_Торговля value 201399.94 is 5.48 std deviations above rural municipality average 50577.30
Норильск,Красноярский край,salary_Услуги ЖКХ,geographic_anomaly,181463.56,57545.18,215.34,100.0,60,"salary_Услуги ЖКХ value 181463.56 is above cluster bounds [16094.68, 98995.67] (median: 57545.18) in Красноярский край"
Норильск,Красноярский край,salary_Финансы и страхование,geographic_anomaly,139675.49,56519.69,147.13,100.0,60,"salary_Финансы и страхование value 139675.49 is above cluster bounds [9896.62, 103142.75] (median: 56519.69) in Красноярский край"
Норильск,Красноярский край,salary_Транспортировка и хранение,geographic_anomaly,165590.39,61924.74,167.41,100.0,60,"salary_Транспортировка и хранение value 165590.39 is above cluster bounds [-12635.98, 136485.47] (median: 61924.74) in Красноярский край"
Норильск,Красноярский край,salary_Операции с недвижимостью,geographic_anomaly,101172.94,37832.71,167.42,100.0,60,"salary_Операции с недвижимостью value 101172.94 is above cluster bounds [2379.52, 73285.90] (median: 37832.71) in Красноярский край"
Билибинский,Чукотский автономный округ,salary_Научная и проф. деятельность,geographic_anomaly,258630.4,49234.88,425.3,100.0,60,salary_Научная и проф. деятельность value 258630.40 is 5.73 std deviations above rural municipality average 49234.88
Певек,Чукотский автономный округ,salary_Здравоохранение,geographic_anomaly,159888.58,48869.21,227.18,100.0,60,salary_Здравоохранение value 159888.58 is 4.25 std deviations above rural municipality average 48869.21
Чукотский,Чукотский автономный округ,salary_Гос. управление и военн. безопасность,geographic_anomaly,166193.86,57474.76,189.16,100.0,60,salary_Гос. управление и военн. безопасность value 166193.86 is 4.09 std deviations above rural municipality average 57474.76
Норильск,Красноярский край,salary_ИТ и связь,geographic_anomaly,168740.02,62877.26,168.36,100.0,60,"salary_ИТ и связь value 168740.02 is above cluster bounds [7761.99, 117992.54] (median: 62877.26) in Красноярский край"
Норильск,Красноярский край,salary_Все отрасли,geographic_anomaly,166126.46,58788.28,182.58,100.0,60,"salary_Все отрасли value 166126.46 is above cluster bounds [24583.08, 92993.47] (median: 58788.28) in Красноярский край"
Норильск,Красноярский край,salary_Водоснабжение,geographic_anomaly,124526.08,43343.42,187.3,100.0,60,"salary_Водоснабжение value 124526.07 is above cluster bounds [-5691.74, 92378.59] (median: 43343.43) in Красноярский край"
Норильск,Красноярский край,salary_Административная деятельность,geographic_anomaly,129319.62,39705.34,225.7,100.0,60,"salary_Административная деятельность value 129319.62 is above cluster bounds [9564.21, 69846.47] (median: 39705.34) in Красноярский край"
Норильск,Красноярский край,salary_Научная и проф. деятельность,geographic_anomaly,202036.39,46058.8,338.65,100.0,60,"salary_Научная и проф. деятельность value 202036.39 is above cluster bounds [11700.93, 80416.67] (median: 46058.80) in Красноярский край"
Норильск,Красноярский край,salary_Здравоохранение,geographic_anomaly,122966.39,51003.18,141.1,100.0,60,"salary_Здравоохранение value 122966.39 is above cluster bounds [36611.26, 65395.09] (median: 51003.18) in Красноярский край"
Норильск,Красноярский край,salary_Спорт и досуг,geographic_anomaly,129353.08,49629.49,160.64,100.0,60,"salary_Спорт и досуг value 129353.07 is above cluster bounds [41744.43, 57514.55] (median: 49629.49) in Красноярский край"
Билибинский,Чукотский автономный округ,salary_Услуги ЖКХ,geographic_anomaly,247331.15,56021.36,341.49,100.0,60,salary_Услуги ЖКХ value 247331.15 is 6.93 std deviations above rural municipality average 56021.36
Магадан,Магаданская область,salary_Финансы и страхование,geographic_anomaly,181879.81,80198.95,126.79,100.0,60,"salary_Финансы и страхование value 181879.81 is above cluster bounds [62093.85, 98304.05] (median: 80198.95) in Магаданская область"
Магадан,Магаданская область,consumption_Продовольствие,geographic_anomaly,22840.42,11719.7,94.89,100.0,60,consumption_Продовольствие value 22840.42 is 4.39 std deviations above urban municipality average 11719.70
Анадырь,Чукотский автономный округ,consumption_Все категории,geographic_anomaly,69746.79,27923.06,149.78,100.0,60,consumption_Все категории value 69746.79 is 4.46 std deviations above urban municipality average 27923.06
Норильск,Красноярский край,migration_total,geographic_anomaly,2202.0,-152.0,-1548.68,100.0,60,"migration_total value 2202.00 is above cluster bounds [-748.01, 444.01] (median: -152.00) in Красноярский край"
Норильск,Красноярский край,consumption_Продовольствие,geographic_anomaly,19880.92,11852.75,67.73,100.0,60,"consumption_Продовольствие value 19880.92 is above cluster bounds [7090.76, 16614.74] (median: 11852.75) in Красноярский край"
Магадан,Магаданская область,consumption_Общественное питание,geographic_anomaly,3181.62,1388.75,129.1,100.0,60,"consumption_Общественное питание value 3181.62 is above cluster bounds [424.21, 2353.29] (median: 1388.75) in Магаданская область"
Магадан,Магаданская область,consumption_Транспорт,geographic_anomaly,3003.33,1479.12,103.05,100.0,60,"consumption_Транспорт value 3003.33 is above cluster bounds [781.75, 2176.50] (median: 1479.12) in Магаданская область"
Певек,Чукотский автономный округ,consumption_Общественное питание,geographic_anomaly,3724.17,493.06,655.31,100.0,60,consumption_Общественное питание value 3724.17 is 6.92 std deviations above rural municipality average 493.06
Билибинский,Чукотский автономный округ,consumption_Здоровье,geographic_anomaly,2806.88,1066.93,163.08,100.0,60,consumption_Здоровье value 2806.88 is 6.18 std deviations above rural municipality average 1066.93
Магадан,Магаданская область,migration_total,geographic_anomaly,-868.0,-55.0,1478.18,100.0,60,"migration_total value -868.00 is below cluster bounds [-588.74, 478.74] (median: -55.00) in Магаданская область"
Норильск,Красноярский край,consumption_Все категории,geographic_anomaly,52325.67,25284.33,106.95,100.0,60,"consumption_Все категории value 52325.67 is above cluster bounds [11625.88, 38942.79] (median: 25284.33) in Красноярский край"
Оймяконский,Республика Саха (Якутия),consumption_Общественное питание,geographic_anomaly,2402.25,493.06,387.21,100.0,60,consumption_Общественное питание value 2402.25 is 4.09 std deviations above rural municipality average 493.06
