region,anomaly_type,count,avg_severity
Алтайский край,cross_source_discrepancy,69,70.0
Алтайский край,geographic_anomaly,116,94.69827586206897
Алтайский край,logical_inconsistency,32,63.615625
Алтайский край,statistical_outlier,19,73.15789473684211
Амурская область,cross_source_discrepancy,27,70.0
Амурская область,geographic_anomaly,47,89.2872340425532
Амурская область,logical_inconsistency,49,71.65673469387755
Амурская область,statistical_outlier,22,69.54545454545455
Архангельская область,cross_source_discrepancy,24,70.0
Архангельская область,geographic_anomaly,62,93.39516129032258
Архангельская область,logical_inconsistency,31,72.27548387096775
Архангельская область,statistical_outlier,25,72.4
Астраханская область,cross_source_discrepancy,13,70.0
Астраханская область,geographic_anomaly,36,94.04166666666667
Астраханская область,logical_inconsistency,14,65.71428571428571
Астраханская область,statistical_outlier,11,79.0909090909091
Белгородская область,cross_source_discrepancy,22,70.0
Белгородская область,geographic_anomaly,43,94.1046511627907
Белгородская область,logical_inconsistency,11,81.36363636363636
Белгородская область,statistical_outlier,14,73.57142857142857
Брянская область,cross_source_discrepancy,31,70.0
Брянская область,geographic_anomaly,48,93.5
Брянская область,logical_inconsistency,10,88.0
Брянская область,statistical_outlier,8,77.5
Владимирская область,cross_source_discrepancy,20,70.0
Владимирская область,geographic_anomaly,29,90.58620689655173
Владимирская область,logical_inconsistency,39,57.96179487179488
Владимирская область,statistical_outlier,11,60.90909090909091
Волгоградская область,cross_source_discrepancy,38,70.0
Волгоградская область,geographic_anomaly,55,94.32727272727273
Волгоградская область,logical_inconsistency,23,59.63652173913044
Волгоградская область,statistical_outlier,20,80.5
Вологодская область,cross_source_discrepancy,25,70.0
Вологодская область,geographic_anomaly,62,91.62903225806451
Вологодская область,logical_inconsistency,37,77.16216216216216
Вологодская область,statistical_outlier,17,79.41176470588235
Воронежская область,cross_source_discrepancy,34,70.0
Воронежская область,geographic_anomaly,71,91.21126760563381
Воронежская область,logical_inconsistency,2,75.0
Воронежская область,statistical_outlier,9,75.55555555555556
Еврейская автономная область,cross_source_discrepancy,6,70.0
Еврейская автономная область,geographic_anomaly,17,94.26470588235294
Еврейская автономная область,logical_inconsistency,17,62.13823529411764
Забайкальский край,cross_source_discrepancy,35,70.0
Забайкальский край,geographic_anomaly,37,94.91891891891892
Забайкальский край,logical_inconsistency,68,64.1410294117647
Забайкальский край,statistical_outlier,18,74.44444444444444
Ивановская область,cross_source_discrepancy,27,70.0
Ивановская область,geographic_anomaly,43,92.29069767441861
Ивановская область,logical_inconsistency,26,58.13423076923077
Ивановская область,statistical_outlier,7,78.57142857142857
Иркутская область,cross_source_discrepancy,41,70.0
Иркутская область,geographic_anomaly,100,91.81
Иркутская область,logical_inconsistency,20,59.246500000000005
Иркутская область,statistical_outlier,44,69.0909090909091
Кабардино-Балкарская Республика,cross_source_discrepancy,13,70.0
Кабардино-Балкарская Республика,geographic_anomaly,18,93.5
Кабардино-Балкарская Республика,logical_inconsistency,128,64.071328125
Кабардино-Балкарская Республика,statistical_outlier,17,85.29411764705883
Калининградская область,cross_source_discrepancy,22,70.0
Калининградская область,geographic_anomaly,62,93.51612903225806
Калининградская область,logical_inconsistency,30,74.05300000000001
Калининградская область,statistical_outlier,18,70.0
Калужская область,cross_source_discrepancy,26,70.0
Калужская область,geographic_anomaly,71,94.78169014084507
Калужская область,logical_inconsistency,84,60.80833333333333
Калужская область,statistical_outlier,16,71.25
Камчатский край,cross_source_discrepancy,9,70.0
Камчатский край,geographic_anomaly,47,90.85106382978724
Камчатский край,logical_inconsistency,38,74.73684210526316
Камчатский край,statistical_outlier,120,67.5
Карачаево-Черкесская Республика,cross_source_discrepancy,12,70.0
Карачаево-Черкесская Республика,geographic_anomaly,16,90.25
Карачаево-Черкесская Республика,logical_inconsistency,48,64.75104166666667
Карачаево-Черкесская Республика,statistical_outlier,4,80.0
Кемеровская область,cross_source_discrepancy,33,70.0
Кемеровская область,geographic_anomaly,61,92.64754098360656
Кемеровская область,logical_inconsistency,41,74.07195121951219
Кемеровская область,statistical_outlier,21,74.28571428571429
Кировская область,cross_source_discrepancy,44,70.0
Кировская область,geographic_anomaly,84,92.4702380952381
Кировская область,logical_inconsistency,30,74.66666666666667
Кировская область,statistical_outlier,14,84.28571428571429
Костромская область,cross_source_discrepancy,29,70.0
Костромская область,geographic_anomaly,55,94.32727272727273
Костромская область,logical_inconsistency,25,75.74520000000001
Костромская область,statistical_outlier,13,79.23076923076923
Краснодарский край,cross_source_discrepancy,45,70.0
Краснодарский край,geographic_anomaly,81,94.22222222222223
Краснодарский край,logical_inconsistency,2,75.0
Краснодарский край,statistical_outlier,68,63.529411764705884
Красноярский край,cross_source_discrepancy,54,70.0
Красноярский край,geographic_anomaly,150,94.97666666666667
Красноярский край,logical_inconsistency,36,74.44444444444444
Красноярский край,statistical_outlier,59,70.33898305084746
Курганская область,cross_source_discrepancy,26,70.0
Курганская область,geographic_anomaly,71,92.14084507042253
Курганская область,logical_inconsistency,25,83.7444
Курганская область,statistical_outlier,8,75.0
Курская область,cross_source_discrepancy,33,70.0
Курская область,geographic_anomaly,60,94.8
