municipal_name,region_name,indicator,anomaly_type,actual_value,expected_value,deviation_pct,severity_score,description
Самара,Самарская область,population_female,statistical_outlier,2828351.0,116819.26,2321.13,100.0,population_female value 2828351.00 deviates 10.39 standard deviations from mean 116819.26
Уфа,Республика Башкортостан,population_female,statistical_outlier,2773776.0,116819.26,2274.42,100.0,population_female value 2773776.00 deviates 10.18 standard deviations from mean 116819.26
Иркутск,Иркутская область,population_total,statistical_outlier,2614101.0,215781.13,1111.46,100.0,population_total value 2614101.00 deviates 5.07 standard deviations from mean 215781.13
Воронеж,Воронежская область,population_total,statistical_outlier,4530840.0,215781.13,1999.74,100.0,population_total value 4530840.00 deviates 9.13 standard deviations from mean 215781.13
Челябинский,Челябинская область,population_male,statistical_outlier,2123538.0,98961.88,2045.81,100.0,population_male value 2123538.00 deviates 9.56 standard deviations from mean 98961.88
Ульяновск,Ульяновская область,population_male,statistical_outlier,1216162.0,98961.88,1128.92,100.0,population_male value 1216162.00 deviates 5.27 standard deviations from mean 98961.88
Волгоград,Волгоградская область,population_total,statistical_outlier,4429583.0,215781.13,1952.81,100.0,population_total value 4429583.00 deviates 8.92 standard deviations from mean 215781.13
Хабаровск,Хабаровский край,population_total,statistical_outlier,2716218.0,215781.13,1158.78,100.0,population_total value 2716218.00 deviates 5.29 standard deviations from mean 215781.13
Краснодар,Краснодарский край,population_female,statistical_outlier,2836195.0,116819.26,2327.85,100.0,population_female value 2836195.00 deviates 10.42 standard deviations from mean 116819.26
Владивостокский,Приморский край,population_total,statistical_outlier,2676303.0,215781.13,1140.29,100.0,population_total value 2676303.00 deviates 5.21 standard deviations from mean 215781.13
Пермский,Пермский край,population_total,statistical_outlier,4402988.0,215781.13,1940.49,100.0,population_total value 4402988.00 deviates 8.86 standard deviations from mean 215781.13
Красноярск,Красноярский край,population_total,statistical_outlier,5121029.0,215781.13,2273.25,100.0,population_total value 5121029.00 deviates 10.38 standard deviations from mean 215781.13
Краснодар,Краснодарский край,population_total,statistical_outlier,5263745.0,215781.13,2339.39,100.0,population_total value 5263745.00 deviates 10.68 standard deviations from mean 215781.13
Тюмень,Тюменская область,population_male,statistical_outlier,1607574.0,98961.88,1524.44,100.0,population_male value 1607574.00 deviates 7.12 standard deviations from mean 98961.88
Екатеринбург,Свердловская область,population_male,statistical_outlier,3114276.0,98961.88,3046.95,100.0,population_male value 3114276.00 deviates 14.23 standard deviations from mean 98961.88
Самара,Самарская область,population_male,statistical_outlier,2210996.0,98961.88,2134.19,100.0,population_male value 2210996.00 deviates 9.97 standard deviations from mean 98961.88
Ижевск,Удмуртская Республика,population_total,statistical_outlier,2661261.0,215781.13,1133.31,100.0,population_total value 2661261.00 deviates 5.17 standard deviations from mean 215781.13
Ростов-на-Дону,Ростовская область,population_male,statistical_outlier,2217015.0,98961.88,2140.27,100.0,population_male value 2217015.00 deviates 10.00 standard deviations from mean 98961.88
Казань,Республика Татарстан,population_total,statistical_outlier,5640429.0,215781.13,2513.96,100.0,population_total value 5640429.00 deviates 11.48 standard deviations from mean 215781.13
Уфа,Республика Башкортостан,population_total,statistical_outlier,5065183.0,215781.13,2247.37,100.0,population_total value 5065183.00 deviates 10.26 standard deviations from mean 215781.13
